coala,N001
coari,N304+Pr
coatá,A301
coaxo,N001
cobra,N101D029A01
cobre,N001
cobro,N001
cocar,N003
coçar,V010
cocar,V011
cocha,N101
coche,N001
cocho,N001
côdea,N101
códon,N001
coeso,A201
coevo,A201
cofre,N001D026
cohen,N306+Pr
coice,N001
coifa,N101
coisa,N101D029
coita,N101
coito,N001
colar,N003
colmo,N001
colón,N001
cólon,N001
colpo,N001
comer,V006
comes,N005
comum,A307S32
conde,N208
conga,N101
congo,A201
conta,N101D029
conto,N001D001
copal,A308
copar,V005
cópia,N101
copio,N001
copta,A301
coque,N001
coral,A007
corão,N025
corar,V005
corço,N201
corda,A101D029
corja,N101
cormo,N001
corno,A201
coroa,N301D092
corpo,N001D121A48
corra,N101
corré,N101
corso,A201
corta,N101
corte,N301
corvo,N001
coser,V006
cosme,N304+Pr
cosmo,N001
costa,N101D029
cotar,V005
cotio,A201
coudé,A104
coura,N101
couro,N001D026
cousa,N101
couto,N306+Pr
couve,N101
covil,N010
coxão,N002
coxia,N101
coxim,N008
cozer,V006
crase,N101
crato,N004+Pr
crauá,N001
cravo,N001D026
crawl,N001
craxi,N306+Pr
credo,N001
creme,N001
crepe,N001
creta,N104+Pr
criar,V005
crime,N001
crina,N101
crise,A101
crivo,N001
croce,N306+Pr
cromo,N001
crowe,N306+Pr
cruel,A309S45
crume,N001
cruor,N003
crupe,N001
cubar,V005
cucar,V011
cueba,A301
cueca,N101
cuíca,N101
cuité,N101
culpa,N101
culto,A201S03
cumbe,N104+Pr
cunha,N101
cunho,N001
cupão,N002
cupim,N008
cupom,N008
curar,V005
curau,N001
curdo,A201
cúria,N101
curie,N306+Pr
curió,N001
cúrio,N004
curro,N001
curso,N001D026
curto,A201D081S03
curva,N101D029
curvo,A201
cuspe,N001
custa,N101
custo,N001
cutia,N101
cútis,N106
cuzco,N304+Pr
cyber,N001
dação,N102
dacar,N104+Pr
dacha,N101
daime,N001
daisy,N104+Pr
dakar,N304+Pr
dália,N101
dalmo,N004+Pr
dalva,N104+Pr
danar,V005
dança,N101
dante,N004+Pr
danti,N306+Pr
daqui,PREPXADV
darci,N104+Pr
darcy,N304+Pr
dardo,N001
dario,N004+Pr
darío,N004+Pr
dário,N004+Pr
datar,V005
david,N004+Pr
davis,N004+Pr
debar,V005
débil,A311
debug,N001
debye,N001
décio,N004+Pr
décor,N004
dedal,N007
deise,N104+Pr
deixa,N101
delfo,A004
delft,N306+Pr
delir,V065
delta,N001
demão,N101
dendê,N001
dener,N004+Pr
dengo,N001
denis,N004+Pr
denso,A201
dente,N001D026A01
denys,N004+Pr
depor,V101
deque,N001
derby,N004
derma,N001
derme,N101
desde,PREP
desse,PREPXDET02+Dem
deste,PREPXDET02+Dem
deter,V034
dever,N003
devir,V085
diabo,N201D122
díade,N101
diana,N104+Pr
dicar,V011
dicaz,A303S30
didot,N304+Pr
diego,N004+Pr
dieta,N101D029
dietl,N306+Pr
digno,A201S03
dilma,N104+Pr
dimas,N004+Pr
dinar,N003
dinda,N101D029
dinho,N004+Pr
dinis,N304+Pr
diniz,N304+Pr
diodo,N001
díodo,N001
diogo,N004+Pr
dione,N104+Pr
dique,N001
dirac,N304+Pr
dirce,N104+Pr
disco,N001D037
disso,PREPXPRO+Dem
disto,PREPXPRO+Dem
ditar,V005
dizer,N003
dobar,V005
dobra,N101A01
dobre,A301
dobro,N001
doçar,V010
dócil,A301S71
dodói,A301
dogma,N001
doido,A201D081A60
dólar,N003
dólmã,N001
domar,V005
donde,CONJ
dopar,V005
doria,N306+Pr
dório,A201
dorna,N101
dorso,N001
dosar,V005
dotal,A308
dotar,V005
douro,N001
douto,A201
draga,N101
drama,N001A04
dreno,N001
droga,N101
dromo,PFX
drope,N001
drupa,N101
drusa,A101
dúbio,A201
dublê,N301
ducal,A308
ducha,N101
ducto,N001
duelo,N001
dueto,N001
dulce,N104+Pr
dunga,N001D035
dupla,N101D029
duplo,A201
duque,N204
duran,N306+Pr
durão,N220
durar,V005
durst,N306+Pr
dutra,N304+Pr
dúzia,N101
dylan,N304+Pr
ébano,N001
ebert,N004+Pr
ébola,N004+Pr
ebola,N104+Pr
ébrio,A201
ecoar,V013
écran,N004
éculo,N001
eddie,N004+Pr
edéia,N104+Pr
edema,N001
edgar,N004+Pr
édipo,N004+Pr
edith,N104+Pr
edito,N001
édito,N001
edson,N004+Pr
édson,N004+Pr
edule,A301
edusp,N104+Pr
egeia,A101
égide,N101
egito,N004+Pr
eguar,V012
eivar,V005
eixar,V005
élate,N001
elcio,N004+Pr
élcio,N004+Pr
elder,N004+Pr
élder,N004+Pr
eléia,N104+Pr
elepê,N001
elias,N006+Pr
eliot,N304+Pr
elisa,N104+Pr
elite,N101
eliza,N104+Pr
ellen,N104+Pr
eller,N304+Pr
ellis,N104+Pr
élson,N004+Pr
eluir,V081
elvis,N004+Pr
embiú,N001
emiko,N004+Pr
emile,N104+Pr
émile,N304+Pr
emily,N004+Pr
empar,V005
êmulo,A201
endez,N003
enéas,N006+Pr
enfim,ADV
engar,V009
enjôo,N001
enojo,N001
